"TENANT_ID","NEGO_TYPE_CODE","OUTCOME_CODE","SORT_NO","OUTCOME_NAME","LOCAL_CREATE_DTM","LOCAL_UPDATE_DTM","CREATE_USER_ID","UPDATE_USER_ID","SYSTEM_CREATE_DTM","SYSTEM_UPDATE_DTM"
"L2100","TSB","BPA","1","BPA","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","TSB","TP","2","Tenative Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","TSB","SD","3","Supplier Development","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","TSB","IPO","4","Inverstment PO","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","TSB","BP","5","Budget Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","TSB","NP","6","Negotiation Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","TSB","SDUP","7","Subsidiary Dev Unit Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","CPB","BPA","1","BPA","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","CPB","TP","2","Tenative Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","CPB","SD","3","Supplier Development","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","CPB","IPO","4","Inverstment PO","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","CPB","BP","5","Budget Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","CPB","NP","6","Negotiation Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","CPB","SDUP","7","Subsidiary Dev Unit Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFP","BPA","1","BPA","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFP","TP","2","Tenative Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFP","SD","3","Supplier Development","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFP","IPO","4","Inverstment PO","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFP","BP","5","Budget Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFP","NP","6","Negotiation Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFP","SDUP","7","Subsidiary Dev Unit Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFQ","BPA","1","BPA","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFQ","TP","2","Tenative Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFQ","SD","3","Supplier Development","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFQ","IPO","4","Inverstment PO","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFQ","BP","5","Budget Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFQ","NP","6","Negotiation Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
"L2100","RFQ","SDUP","7","Subsidiary Dev Unit Price","2021-01-26 10:49:00","2021-01-26 10:49:00","A60248","A60248","2021-01-26 10:49:00","2021-01-26 10:49:00"
